"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 29 18:01:45 GMT 2021","Thu Apr 29 18:01:49 GMT 2021","4038","","com.test.j4test.SquareFactoryThirdTest","","com.test.j4test.SquareFactoryThirdTest","sixthTest","sixthTest",""
"passed","Thu Apr 29 18:01:49 GMT 2021","Thu Apr 29 18:01:53 GMT 2021","4066","","com.test.j4test.SquareFactorySecondTest","","com.test.j4test.SquareFactorySecondTest","fourthTest","fourthTest()",""
"passed","Thu Apr 29 18:01:53 GMT 2021","Thu Apr 29 18:01:57 GMT 2021","4065","","com.test.j4test.SquareFactoryFirstTest","","com.test.j4test.SquareFactoryFirstTest","fsecondTest","fsecondTest()",""
"passed","Thu Apr 29 18:01:57 GMT 2021","Thu Apr 29 18:02:01 GMT 2021","4034","","com.test.j4test.SquareFactoryFirstTest","","com.test.j4test.SquareFactoryFirstTest","firstTest","firstTest()",""
"passed","Thu Apr 29 18:01:49 GMT 2021","Thu Apr 29 18:01:53 GMT 2021","4057","","com.test.j4test.SquareFactorySecondTest","","com.test.j4test.SquareFactorySecondTest","thirdTest","thirdTest()",""
"passed","Thu Apr 29 18:01:41 GMT 2021","Thu Apr 29 18:01:45 GMT 2021","4024","","com.test.j4test.SquareFactoryThirdTest","","com.test.j4test.SquareFactoryThirdTest","fifthTest","fifthTest",""
"passed","Thu Apr 29 18:01:45 GMT 2021","Thu Apr 29 18:01:49 GMT 2021","4045","","com.test.j4test.SquareFactoryFourthTest","","com.test.j4test.SquareFactoryFourthTest","eightTest","eightTest",""
"passed","Thu Apr 29 18:01:41 GMT 2021","Thu Apr 29 18:01:45 GMT 2021","4026","","com.test.j4test.SquareFactoryFourthTest","","com.test.j4test.SquareFactoryFourthTest","ninthTest","ninthTest",""
"passed","Thu Apr 29 18:01:57 GMT 2021","Thu Apr 29 18:02:01 GMT 2021","4028","","com.test.j4test.SquareFactoryFourthTest","","com.test.j4test.SquareFactoryFourthTest","eightTest","eightTest()",""
"passed","Thu Apr 29 18:01:53 GMT 2021","Thu Apr 29 18:01:57 GMT 2021","4067","","com.test.j4test.SquareFactoryFourthTest","","com.test.j4test.SquareFactoryFourthTest","seventhTest","seventhTest()",""
"passed","Thu Apr 29 18:01:49 GMT 2021","Thu Apr 29 18:01:53 GMT 2021","4052","","com.test.j4test.SquareFactoryFourthTest","","com.test.j4test.SquareFactoryFourthTest","seventhTest","seventhTest",""
